REGION;NUMMR;ACHLR;AEMM;AEMMR;AGED;AGER20;AGEREV;AGEREVQ;ANAI;ANARR;ANEM;ANEMR;APAF;ARRIVR;ASCEN;BAIN;BATI;CATL;CATPC;CHAU;CHFL;CHOS;CLIM;CMBL;COUPLE;CS1;CS2;CS3;CUIS;DEPT;DEROU;DIPL;EAU;EGOUL;ELEC;EMPL;EPCI;ETUD;GARL;HLML;ILETUD;ILETUU;ILT;ILTUU;IMMI;INAI;INAT;INFAM;INPER;INPERF;IPONDI;IRAN;IRANUU;LIENF;LPRF;LPRM;METRODOM;MOCO;MODV;NA38;NA88;NAF08;NAIDT;NAT13;NAT49;NATC;NATN12;NATN49;NATNC;NBPI;NPERR;NUMF;ORIDT;PNAI12;PROF;RECH;SANI;SANIDOM;SEXE;SFM;STAT;STAT_CONJ;STOCD;SURF;TACT;TACTD16;TP;TRANS;TYPC;TYPFC;TYPL;TYPMD;TYPMR;UR;VOIT;WC
01;1;2;2005;9;060;64;059;055;1960;Z;015;03;0;Z;2;1;4;1;0;2;Z;2;2;Z;2;7;76;78;1;99;0;02;1;1;1;ZZ;999999999;2;2;2;Z;Z;Z;Z;2;1;11;0;1;Z;3.38430791508058;1;3;0;0;1;D;32;50;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;03;1;Z;11;01;ZZZZ;9;Z;11;1;11;ZZ;6;21;4;21;210;Z;Z;1;Z;1;012;11;1;1;1
01;2;4;2013;9;024;24;023;020;1995;Z;006;02;2;Z;2;1;4;1;0;2;Z;2;2;Z;1;4;41;42;1;99;0;13;1;1;1;11;999999999;2;2;1;Z;Z;1;3;2;1;11;1;2;2;0.99997942335023;1;3;2;2;2;D;21;31;HZ;51;5110Z;11;00;997;0;01;997;1;03;2;1;11;01;422E;Z;Z;11;2;30;10;1;22;3;11;111;1;5;3;2;2;300;41;1;1;1
01;2;4;2013;9;059;64;058;055;1960;Z;006;02;2;Z;2;1;4;1;0;2;Z;2;2;Z;1;3;32;35;1;99;0;13;1;1;1;16;999999999;2;2;1;Z;Z;1;3;2;1;11;1;2;2;0.99997942335023;1;3;2;1;1;D;21;40;HZ;51;5110Z;11;00;997;0;01;997;1;03;2;1;11;01;353B;Z;Z;11;2;30;10;1;22;3;11;111;1;5;3;2;2;300;41;1;1;1
01;3;5;2016;9;026;29;025;025;1991;Z;001;00;2;Z;2;1;4;1;0;2;Z;2;2;Z;2;8;82;85;1;99;0;13;2;1;1;ZZ;999999999;2;1;1;Z;Z;Z;Z;2;4;11;1;2;2;2.72864936110925;1;3;2;1;1;D;23;33;ZZ;ZZ;ZZZZZ;12;00;997;0;01;997;1;03;2;1;12;01;ZZZZ;9;Z;11;2;22;ZZ;6;22;4;25;250;Z;Z;3;1;2;211;32;1;1;1
01;3;5;2016;9;006;05;005;005;2011;Z;001;00;3;Z;2;1;4;1;0;2;Z;2;2;Z;2;8;82;85;1;99;0;ZZ;2;1;1;ZZ;999999999;1;1;1;1;3;Z;Z;2;1;11;1;2;2;2.72864936110925;1;3;3;3;3;D;12;12;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;03;2;1;11;01;ZZZZ;Z;Z;11;1;22;ZZ;6;22;4;23;230;Z;Z;3;1;2;211;32;1;1;1
01;4;5;2017;9;001;02;000;000;2019;Z;003;01;3;Z;2;1;4;1;0;2;Z;2;2;Z;2;8;82;85;1;99;0;ZZ;2;1;1;ZZ;999999999;2;2;2;Z;Z;Z;Z;2;1;11;1;3;3;2.73502650312144;Z;Z;3;3;3;D;12;12;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;04;3;1;11;01;ZZZZ;Z;Z;11;1;22;ZZ;6;21;4;23;230;Z;Z;3;1;2;212;32;1;0;1
01;4;5;2017;9;016;17;015;015;2004;Z;003;01;3;Z;2;1;4;1;0;2;Z;2;2;Z;2;8;82;84;1;99;0;12;2;1;1;ZZ;999999999;1;2;2;1;3;Z;Z;2;1;11;1;3;3;2.73502650312144;1;3;3;3;3;D;12;12;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;04;3;1;11;01;ZZZZ;0;Z;11;2;22;ZZ;6;21;4;22;220;Z;Z;3;1;2;212;32;1;0;1
01;4;5;2017;9;037;39;036;035;1983;2;003;01;2;9;2;1;4;1;0;2;Z;2;2;Z;2;8;81;81;1;99;0;03;2;1;1;ZZ;999999999;2;2;2;Z;Z;Z;Z;2;6;11;1;3;3;2.73502650312144;1;3;2;1;1;D;23;33;ZZ;ZZ;ZZZZZ;30;00;997;0;01;997;1;04;3;1;00;12;ZZZZ;1;Z;11;2;22;ZZ;6;21;4;12;122;Z;Z;3;1;2;212;32;1;0;1
01;5;6;2007;9;009;10;008;005;2009;Z;011;03;3;Z;2;1;4;1;0;2;Z;1;1;Z;2;8;82;85;1;99;0;ZZ;2;1;1;ZZ;999999999;1;2;2;2;5;Z;Z;2;1;11;1;4;4;2.4993636187945;1;3;3;3;3;D;11;11;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;05;4;1;11;01;ZZZZ;Z;Z;11;2;32;ZZ;6;10;6;23;230;Z;Z;1;2;1;302;41;1;2;1
01;5;6;2007;9;016;17;015;015;2002;Z;011;03;3;Z;2;1;4;1;0;2;Z;1;1;Z;2;8;82;84;1;99;0;12;2;1;1;ZZ;999999999;1;2;2;2;4;Z;Z;2;1;11;1;4;4;2.4993636187945;1;3;3;3;3;D;11;11;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;05;4;1;11;01;ZZZZ;9;Z;11;1;32;ZZ;6;10;6;22;220;Z;Z;1;2;1;302;41;1;2;1
01;5;6;2007;9;051;54;050;050;1967;Z;011;03;1;Z;2;1;4;1;0;2;Z;1;1;Z;1;4;41;42;1;99;0;14;2;1;1;16;999999999;2;2;2;Z;Z;2;5;2;1;11;1;4;4;2.4993636187945;1;3;1;1;1;D;22;32;QB;87;8710B;11;00;997;0;01;997;1;05;4;1;11;01;424A;Z;Z;11;1;32;10;3;10;6;11;111;2;5;1;2;1;302;41;1;2;1
01;5;6;2007;9;046;54;046;045;1972;Z;011;03;2;Z;2;1;4;1;0;2;Z;1;1;Z;1;4;41;45;1;99;0;14;2;1;1;16;999999999;2;2;2;Z;Z;2;5;2;3;11;1;4;4;2.4993636187945;1;3;2;2;2;D;22;32;OZ;84;8411Z;00;00;997;0;01;997;1;05;4;1;00;01;451F;Z;Z;11;2;32;10;3;10;6;11;111;1;5;1;2;1;302;41;1;2;1
01;6;5;2001;9;020;19;019;015;1999;Z;018;03;3;Z;2;1;4;1;0;2;Z;1;2;Z;2;8;82;84;1;99;0;02;2;4;1;ZZ;999999999;1;1;2;2;4;Z;Z;2;1;11;1;2;2;5.19359044757097;1;3;3;3;3;D;12;12;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;04;2;1;11;01;ZZZZ;9;Z;11;1;22;ZZ;6;10;5;22;220;Z;Z;1;1;1;201;32;1;1;1
01;6;5;2001;9;056;64;055;055;1963;Z;018;03;2;Z;2;1;4;1;0;2;Z;1;2;Z;2;5;56;56;1;99;0;13;2;4;1;16;999999999;2;1;2;Z;Z;2;4;2;1;11;1;2;2;5.19359044757097;1;3;2;1;1;D;23;33;QB;88;8810A;11;00;997;0;01;997;1;04;2;1;11;01;563B;Z;Z;11;2;22;10;6;10;5;11;111;1;5;1;1;1;201;32;1;1;1
01;7;4;2011;9;007;10;006;005;2010;Z;006;02;3;Z;2;1;4;1;0;2;Z;2;2;Z;2;8;82;85;1;99;0;ZZ;2;1;1;ZZ;999999999;1;2;1;2;4;Z;Z;2;1;11;1;3;3;2.72864936110925;1;3;3;3;3;D;12;12;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;04;3;1;11;01;ZZZZ;Z;Z;11;2;22;ZZ;6;22;3;23;230;Z;Z;2;1;2;212;32;1;1;1
01;7;4;2011;9;012;14;011;010;2005;Z;006;02;3;Z;2;1;4;1;0;2;Z;2;2;Z;2;8;82;85;1;99;0;ZZ;2;1;1;ZZ;999999999;1;2;1;2;4;Z;Z;2;1;11;1;3;3;2.72864936110925;1;3;3;3;3;D;12;12;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;04;3;1;11;01;ZZZZ;Z;Z;11;2;22;ZZ;6;22;3;23;230;Z;Z;2;1;2;212;32;1;1;1
01;7;4;2011;9;048;54;047;045;1969;Z;006;02;2;Z;2;1;4;1;0;2;Z;2;2;Z;2;5;54;54;1;99;0;15;2;1;1;ZZ;999999999;2;2;1;Z;Z;Z;Z;2;1;11;1;3;3;2.72864936110925;1;3;2;1;1;D;23;33;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;04;3;1;11;01;ZZZZ;2;Z;11;2;22;ZZ;6;22;3;12;122;Z;Z;2;1;2;212;32;1;1;1
01;8;4;2006;9;010;10;010;010;2007;Z;011;03;3;Z;2;1;4;1;0;2;Z;2;2;Z;2;8;82;85;1;99;0;ZZ;1;1;1;ZZ;999999999;1;1;2;1;3;Z;Z;2;1;11;1;3;3;2.53413665555655;1;3;3;3;3;D;12;12;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;04;3;1;11;01;ZZZZ;Z;Z;11;2;22;ZZ;6;23;4;23;230;Z;Z;3;1;1;212;32;1;0;1
01;8;4;2006;9;019;19;018;015;1998;Z;011;03;3;Z;2;1;4;1;0;2;Z;2;2;Z;2;8;82;84;1;99;0;15;1;1;1;ZZ;999999999;1;1;2;2;4;Z;Z;2;1;11;1;3;3;2.53413665555655;1;3;3;3;3;D;12;12;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;04;3;1;11;01;ZZZZ;0;Z;11;2;22;ZZ;6;23;4;22;220;Z;Z;3;1;1;212;32;1;0;1
01;8;4;2006;9;045;54;044;040;1972;Z;011;03;2;Z;2;1;4;1;0;2;Z;2;2;Z;2;5;54;54;1;99;0;14;1;1;1;ZZ;999999999;2;1;2;Z;Z;Z;Z;2;1;11;1;3;3;2.53413665555655;1;3;2;1;1;D;23;33;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;04;3;1;11;01;ZZZZ;2;Z;11;2;22;ZZ;6;23;4;12;122;Z;Z;3;1;1;212;32;1;0;1
01;9;4;2011;9;025;24;024;020;1991;2;005;02;2;9;1;1;4;1;0;2;Z;2;1;Z;2;8;82;84;1;99;0;03;2;1;1;ZZ;999999999;1;1;1;2;4;Z;Z;1;6;21;1;2;2;2.42708113814558;1;3;2;1;1;D;23;33;ZZ;ZZ;ZZZZZ;30;12;CAR;6;ZZ;ZZZ;Z;02;2;1;00;12;ZZZZ;0;Z;11;2;22;ZZ;6;22;2;22;220;Z;Z;3;1;2;211;32;1;0;1
01;9;4;2011;9;005;05;004;000;2011;Z;005;02;3;Z;1;1;4;1;0;2;Z;2;1;Z;2;8;82;85;1;99;0;ZZ;2;1;1;ZZ;999999999;1;1;1;1;3;Z;Z;2;1;21;1;2;2;2.42708113814558;1;3;3;3;3;D;12;12;ZZ;ZZ;ZZZZZ;11;12;CAR;6;ZZ;ZZZ;Z;02;2;1;11;01;ZZZZ;Z;Z;11;1;22;ZZ;6;22;2;23;230;Z;Z;3;1;2;211;32;1;0;1
01;10;5;2014;9;008;10;007;005;2012;Z;006;02;3;Z;2;1;4;1;0;1;Z;2;1;Z;2;8;82;85;1;99;0;ZZ;2;1;1;ZZ;999999999;1;2;1;1;3;Z;Z;2;1;11;1;3;3;2.73502650312144;1;3;3;3;3;D;12;12;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;04;3;1;11;01;ZZZZ;Z;Z;11;1;22;ZZ;6;22;4;23;230;Z;Z;3;1;2;212;32;1;1;1
01;10;5;2014;9;009;10;008;005;2011;Z;006;02;3;Z;2;1;4;1;0;1;Z;2;1;Z;2;8;82;85;1;99;0;ZZ;2;1;1;ZZ;999999999;1;2;1;1;3;Z;Z;2;1;11;1;3;3;2.73502650312144;1;3;3;3;3;D;12;12;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;04;3;1;11;01;ZZZZ;Z;Z;11;1;22;ZZ;6;22;4;23;230;Z;Z;3;1;2;212;32;1;1;1
